stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station
"1100201","Schopfheim, Im Grund","47.65476494","7.83313860","","Parent1100201"
"1100202","Fahrnau, Werderstrasse","47.65751808","7.83543828","","Parent1100202"
"1100203","Fahrnau, Ost","47.66084585","7.83953460","","Parent1100203"
"1100204","Fahrnau, Silberbrünnle","47.65987780","7.85149118","","Parent1100204"
"1100205","Kürnberg","47.66483286","7.86814594","","Parent1100205"
"1100206","Sattelhof (Baden), Abzweigung","47.66742818","7.88015642","","Parent1100206"
"1100207","Glashütten (Hasel), Abzweigung","47.67613881","7.89399047","","Parent1100207"
"1100208","Schopfheim, Abzw. Schweigmatt","47.68771443","7.89223876","","Parent1100208"
"1100209","Schopfheim, Auerhahn","47.69450499","7.89790713","","Parent1100209"
"1100210","Schopfheim, Eckhag","47.69853175","7.89956003","","Parent1100210"
"1100211","Gersbach (Baden), Ebnet","47.69919679","7.92445235","","Parent1100211"
"1100213","Todtnau, Präg Rathaus","47.82856259","7.97813567","","Parent1100213"
"1100214","Todtnau, Präg Hirschen","47.82678345","7.97411122","","Parent1100214"
"1100215","Langenau (LÖ), Friedhof","47.65576939","7.79853549","","Parent1100215"
"1100216","Langenau (LÖ), Rathaus","47.66038603","7.79949669","","Parent1100216"
"1100217","Langenau (LÖ), Inselstrasse","47.66449407","7.80088010","","Parent1100217"
"1100218","Schopfheim, Enkenstein","47.68035447","7.80844391","","Parent1100218"
"1100219","Wieslet, Sparkasse","47.68891176","7.79943381","","Parent1100219"
"1100220","Sallneck, Abzweigung","47.72147106","7.78802520","","Parent1100220"
"1100221","Schwand (Tegernau), Abzweigung","47.72400917","7.78108123","","Parent1100221"
"1100222","Wies (Schwarzw), Stauweiher","47.72820284","7.77296046","","Parent1100222"
"1100223","Wies (Schwarzw), Abzw. Demberg","47.73616625","7.76934025","","Parent1100223"
"1100224","Wies (Schwarzw)","47.74782519","7.76875634","","Parent1100224"
"1100225","Tegernau (Bd), Besengasse","47.72618460","7.79805939","","Parent1100225"
"1100226","Elbenschwand, Holl","47.73689123","7.81078851","","Parent1100226"
"1100227","Langensee (Kr LÖ), Ort","47.74206250","7.81845114","","Parent1100227"
"1100228","Langensee (Kr LÖ), Ost","47.74542113","7.82325713","","Parent1100228"
"1100229","Elbenschwand, Abzweigung","47.74944999","7.82375120","","Parent1100229"
"1100230","Bürchau, Haus 42","47.76228348","7.82796430","","Parent1100230"
"1100231","Bürchau, Kastel","47.76773601","7.82470342","","Parent1100231"
"1100232","Bürchau, Gemeindezentrum","47.77528285","7.82713785","","Parent1100232"
"1100233","Bürchau, Sägemättle","47.78188696","7.82490105","","Parent1100233"
"1100234","Neuenweg (Kr LÖ)","47.79542455","7.82726362","","Parent1100234"
"1100235","Heubronn, Vorderheubronn","47.79892456","7.81243243","","Parent1100235"
"1100236","Heubronn, Mittelheubronn","47.80133822","7.80814747","","Parent1100236"
